prev_detected_lang,text
ar,Exceptional.
ar,Superb.
ar,Exceptional.
ar,Pleasant.
ar,Superb.
ar,Exceptional.
ar,Exceptional.
de,Superb.
ar,Very good.
ar,Exceptional.
ar,Very good.
ar,Exceptional.
ar,Good.
ar,Exceptional.
ar,Passable.
ru,Very good.
de,Very good.
ar,Good.
ar,Good.
ar,Good.
ar,Exceptional.
ar,Superb.
ar,Very good.
ar,Exceptional.
tr,Good.
ar,Exceptional.
ar,Exceptional.
ar,Good.
pl,Exceptional.
ar,Good.
ar,Very good.
ru,Exceptional.
ar,Exceptional.
ar,Pleasant.
ar,Bad.
fr,Disappointing.
fr,Passable.
ar,Exceptional.
id,Very good.
ru,Disappointing.
ar,Disappointing.
it,Very good.
es,Very good.
ar,Superb.
ar,Very poor.
ar,Very good.
tr,Exceptional.
tr,Exceptional.
tr,Exceptional.
tr,Exceptional.
ar,Very good.
pt,Very good.
fr,Exceptional.
ar,Pleasant.
ar,Very poor.
ar,Very good.
ar,Exceptional.
de,Pleasant.
ar,Exceptional.
ar,Very good.
ru,Exceptional.
ru,Exceptional.
ar,Exceptional.
ar,Very good.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
de,Very good.
ar,Exceptional.
ar,Good.
da,Very good.
ar,Good.
ar,Pleasant.
ar,Superb.
ar,Exceptional.
ar,Very good.
ar,Exceptional.
de,Superb.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Good.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ru,Superb.
ar,Disappointing.
ar,Exceptional.
ar,Exceptional.
ar,Bad.
fr,Superb.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Disappointing.
ar,Very good.
ar,Exceptional.
de,Superb.
es,Exceptional.
ar,Very good.
ar,Pleasant.
ar,Exceptional.
ar,Very good.
ar,Bad.
ar,Exceptional.
ar,Bad.
ar,Bad.
ar,Bad.
fr,Exceptional.
ar,Very good.
ar,Good.
ar,Exceptional.
ar,Exceptional.
ar,Disappointing.
ar,Superb.
ar,Exceptional.
sv,Exceptional.
ar,Very good.
ar,Good.
ar,Good.
ar,Very good.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Very good.
ar,Exceptional.
ar,Very good.
ar,Superb.
de,Pleasant.
fr,Exceptional.
ro,Very good.
ar,Exceptional.
ar,Superb.
tr,Exceptional.
ar,Exceptional.
tr,Exceptional.
ar,Exceptional.
ar,Exceptional.
hr,Superb.
ar,Very good.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Very good.
ar,Exceptional.
ar,Exceptional.
hr,Exceptional.
ar,Superb.
ar,Good.
ar,Exceptional.
fr,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Superb.
ar,Superb.
ar,Exceptional.
it,Very good.
ru,Exceptional.
fr,Superb.
ar,Bad.
fr,Very poor.
de,Very good.
ar,Superb.
ar,Exceptional.
ar,Passable.
ar,Exceptional.
ar,Good.
ar,Very good.
ar,Passable.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Very good.
ar,Exceptional.
ar,Exceptional.
ar,Disappointing.
ar,Poor.
ar,Bad.
ar,Exceptional.
ar,Pleasant.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Very good.
ar,Very good.
ar,Superb.
ar,Passable.
ar,Exceptional.
ar,Superb.
ar,Very good.
ar,Exceptional.
tr,Exceptional.
ar,Very good.
ar,Superb.
ar,Superb.
ar,Superb.
ar,Exceptional.
ar,Good.
ar,Exceptional.
ar,Passable.
ar,Superb.
ar,Very good.
ar,Pleasant.
ar,Very good.
ar,Superb.
ar,Exceptional.
ar,Exceptional.
ru,Pleasant.
de,Very good.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
ar,Very good.
ar,Exceptional.
ar,Exceptional.
ar,Exceptional.
de,Superb.
ar,Superb.
ar,Exceptional.
ar,Exceptional.
ar,Passable.
ar,Passable.
ar,Pleasant.
nl,Superb.
ar,Exceptional.
ar,Passable.
ar,Exceptional.
es,Exceptional.
de,Very good.
tr,Exceptional.
nl,Exceptional.
ar,Exceptional.
ar,Good.
ar,Exceptional.
ar,Very good.
ar,Superb.
fr,Exceptional.
ar,Superb.
ar,Good.
cs,Very good.
ar,Very good.
fr,Very good.
ar,Exceptional.
tr,Exceptional.
ar,Very good.
ar,Exceptional.
fr,Superb.
es,Superb.
ar,Superb.
ar,Very good.
ar,Exceptional.
ru,Exceptional.
ar,Exceptional.
ar,Superb.
ar,Good.
ar,Superb.
ar,Superb.
ar,Passable.
